millis,rpm1,filterRpm_1,w1,rpm2,filterRpm_2,w2,rpm3,filterRpm_3,w3
2119446,80.21,86.66,16855,112.3,106.71,16855,96.26,92.58,16855
2119456,80.21,85.9,16835,96.25,106.42,16835,80.21,92.07,16835
2119466,96.27,86.18,16815,112.31,106.17,16815,96.27,91.62,16815
2119476,80.21,86.42,16795,96.26,105.94,16795,80.21,91.22,16795
2119486,80.21,85.69,16775,112.29,105.75,16775,96.25,90.86,16775
2119496,96.27,85.99,16755,96.27,105.57,16755,96.27,91.5,16755
2119506,80.21,86.25,16735,112.3,105.42,16735,80.21,91.12,16735
2119516,80.21,85.54,16715,96.25,105.29,16715,96.25,90.77,16715
2119526,80.22,84.91,16695,112.31,105.17,16695,96.27,91.42,16695
2119536,96.26,85.3,16675,96.26,105.06,16675,80.21,91.05,16675
2119546,80.21,85.65,16655,112.29,104.97,16655,96.25,90.71,16655
2119556,80.22,85.01,16635,96.27,104.89,16635,80.22,90.42,16635
2119566,80.21,84.44,16615,112.3,104.82,16615,96.26,90.16,16615
2119576,96.26,84.89,16595,96.26,104.75,16595,80.21,89.93,16595
2119587,87.5,85.72,16575,102.08,104.09,16575,102.08,90.08,16575
2119597,80.22,85.5,16555,96.27,103.51,16555,80.22,90.2,16555
2119607,80.21,84.87,16535,112.3,103.6,16535,96.26,89.97,16535
2119617,80.21,84.32,16515,96.26,103.68,16515,80.21,89.77,16515
2119627,96.25,84.78,16495,112.29,103.75,16495,96.25,89.59,16495
2119637,80.22,85.19,16475,96.27,103.81,16475,80.22,89.43,16475
2119647,80.21,84.6,16455,96.26,102.92,16455,96.26,89.29,16455
2119657,80.21,84.08,16435,112.3,103.08,16435,80.21,89.16,16435
2119667,80.21,83.63,16415,96.26,103.22,16415,96.26,89.05,16415
2119677,96.26,84.17,16395,96.26,102.4,16395,80.21,88.96,16395
2119687,80.21,84.65,16375,112.3,102.62,16375,96.26,88.87,16375
2119697,80.21,84.13,16355,96.26,102.82,16355,80.21,88.79,16355
2119707,80.21,83.66,16335,96.26,102.04,16335,96.26,88.73,16335
2119717,80.21,83.26,16315,112.29,102.31,16315,80.21,88.67,16315
2119727,80.21,82.9,16295,96.26,102.54,16295,96.26,88.62,16295
2119737,96.27,83.53,16275,96.27,101.8,16275,80.22,88.57,16275
2119747,80.21,84.08,16255,112.3,102.09,16255,80.21,87.59,16255
2119757,80.21,83.63,16235,96.26,102.35,16235,96.26,87.66,16235
2119767,80.21,83.22,16215,96.25,101.63,16215,80.21,87.73,16215
2119777,80.21,82.87,16195,96.26,100.99,16195,96.26,87.79,16195
2119787,80.22,82.55,16175,112.31,101.38,16175,80.22,87.84,16175
2119797,80.21,82.28,16155,96.26,101.72,16155,80.21,86.94,16155
2119807,96.25,82.98,16135,96.25,101.08,16135,96.25,87.09,16135
2119817,80.22,83.6,16115,96.27,100.51,16115,80.22,87.23,16115
2119827,80.21,83.2,16095,96.25,100.0,16095,96.25,87.35,16095
2119837,64.18,81.9,16075,112.31,100.51,16075,80.22,87.45,16075
2119847,80.21,80.75,16055,96.26,100.96,16055,80.21,86.6,16055
2119857,80.21,80.69,16035,96.25,100.4,16035,96.25,86.79,16035
2119867,80.22,80.63,16015,96.27,99.91,16015,80.22,86.96,16015
2119877,80.21,80.58,15995,96.26,99.48,15995,80.21,86.16,15995
2119887,64.17,79.59,15975,112.3,100.05,15975,96.26,86.41,15975
2119897,96.26,79.66,15955,96.26,100.55,15955,80.21,86.62,15955
2119907,80.21,80.68,15935,96.26,100.04,15935,80.21,85.87,15935
2119917,80.21,80.62,15915,96.26,99.59,15915,80.21,85.2,15915
2119927,80.21,80.57,15895,96.25,99.2,15895,96.25,85.56,15895
2119937,80.22,80.53,15875,96.27,98.85,15875,80.22,85.87,15875
2119947,80.21,80.49,15855,96.26,98.54,15855,80.21,85.2,15855
2119957,80.21,80.46,15835,96.26,98.27,15835,80.21,84.61,15835
2119967,80.21,80.43,15815,96.26,98.03,15815,96.26,85.04,15815
2119977,80.21,80.41,15795,96.26,97.82,15795,80.21,85.42,15795
2119987,80.21,80.38,15775,112.3,98.59,15775,80.21,84.8,15775
2119997,80.21,80.36,15755,96.25,99.26,15755,80.21,84.26,15755
2120007,80.22,80.35,15735,96.27,98.9,15735,80.22,83.78,15735
2120017,80.21,80.33,15715,96.26,98.59,15715,96.26,84.31,15715
2120027,80.21,80.32,15695,96.26,98.32,15695,80.21,84.77,15695
2120037,80.21,80.3,15675,96.26,98.07,15675,80.21,84.23,15675
2120047,80.21,80.29,15655,96.26,97.86,15655,80.21,83.76,15655
2120057,80.21,80.28,15635,96.26,97.67,15635,80.21,83.34,15635
2120067,80.21,80.28,15615,96.26,97.5,15615,80.21,82.97,15615
2120077,80.21,80.27,15595,96.26,97.35,15595,80.21,82.64,15595
2120087,80.21,80.26,15575,96.26,97.22,15575,96.26,83.31,15575
2120097,80.21,80.26,15555,80.21,96.16,15555,80.21,83.89,15555
2120107,64.17,79.3,15535,96.26,95.22,15535,80.21,83.45,15535
2120117,80.21,78.46,15515,96.25,95.35,15515,80.21,83.07,15515
2120127,80.22,78.67,15495,96.27,95.45,15495,80.22,82.73,15495
2120137,80.21,78.85,15475,96.26,95.55,15475,80.21,82.44,15475
2120147,80.21,79.01,15455,96.26,95.63,15455,80.21,82.17,15455
2120157,80.21,79.15,15435,96.26,95.71,15435,80.21,81.94,15435
2120167,80.21,79.28,15415,96.25,95.77,15415,80.21,81.74,15415
2120177,64.18,78.44,15395,96.27,95.83,15395,80.22,81.56,15395
2120187,80.21,77.7,15375,96.26,95.88,15375,80.21,81.4,15375
2120197,80.21,78.0,15355,80.21,94.98,15355,80.21,81.26,15355
2120207,80.21,78.26,15335,96.26,94.18,15335,80.21,81.13,15335
2120217,64.16,77.54,15315,96.25,94.42,15315,80.21,81.03,15315
2120227,80.22,76.91,15295,96.27,94.64,15295,80.22,80.93,15295
2120237,80.21,77.3,15275,96.26,94.83,15275,80.21,80.85,15275
2120247,80.21,77.65,15255,80.21,94.05,15255,80.21,80.77,15255
2120257,64.17,77.0,15235,96.26,93.36,15235,80.21,80.7,15235
2120267,80.21,76.43,15215,96.26,93.71,15215,80.21,80.65,15215
2120277,80.21,76.88,15195,96.26,94.01,15195,80.21,80.6,15195
2120287,80.21,77.27,15175,80.21,93.33,15175,64.17,79.6,15175
2120297,64.16,76.67,15155,96.25,92.72,15155,80.21,78.73,15155
2120307,80.22,76.14,15135,96.27,93.14,15135,80.22,78.9,15135
2120317,80.21,76.62,15115,80.21,92.56,15115,80.21,79.06,15115
2120327,64.17,76.1,15095,96.26,92.05,15095,80.21,79.19,15095
2120337,80.22,75.64,15075,96.27,92.55,15075,80.22,79.31,15075
2120347,64.17,75.23,15055,80.21,92.04,15055,80.21,79.42,15055
2120357,80.21,74.87,15035,96.26,91.59,15035,80.21,79.51,15035
2120367,80.21,75.5,15015,96.26,92.14,15015,64.17,78.65,15015
2120377,64.17,75.11,14995,80.21,91.68,14995,80.21,77.89,14995
2120387,80.21,74.77,14975,96.26,91.27,14975,80.21,78.16,14975
2120397,64.17,74.46,14955,80.21,90.91,14955,80.21,78.4,14955
2120407,80.21,74.19,14935,96.26,90.6,14935,80.21,78.62,14935
2120417,64.17,73.96,14915,96.26,91.27,14915,64.17,77.86,14915
2120427,64.16,72.8,14895,80.21,90.91,14895,80.21,77.19,14895
2120437,80.21,72.73,14875,96.26,90.59,14875,80.21,77.54,14875
2120447,64.18,72.66,14855,80.22,90.31,14855,80.22,77.86,14855
2120457,80.21,72.61,14835,96.26,90.07,14835,80.21,78.14,14835
2120467,64.16,72.56,14815,80.21,89.85,14815,64.16,77.44,14815
2120477,80.22,72.52,14795,96.27,89.66,14795,80.22,76.82,14795
2120487,64.16,72.48,14775,80.21,89.49,14775,80.21,77.22,14775
2120497,80.22,72.44,14755,96.27,89.34,14755,80.22,77.57,14755
2120507,64.17,72.42,14735,80.21,89.21,14735,64.17,76.94,14735
2120517,80.21,72.39,14715,96.26,89.1,14715,80.21,76.38,14715
2120527,64.16,72.37,14695,80.21,88.99,14695,80.21,76.83,14695
2120537,64.18,71.4,14675,96.27,88.9,14675,64.18,76.28,14675
2120547,80.21,71.49,14655,80.21,88.83,14655,80.21,75.8,14655
2120557,64.16,71.57,14635,96.25,88.76,14635,80.21,76.32,14635
2120567,80.22,71.65,14615,80.22,88.69,14615,64.18,75.83,14615
2120577,64.17,71.71,14595,96.26,88.64,14595,80.21,75.4,14595
2120587,80.21,71.77,14575,80.21,88.59,14575,80.21,75.97,14575
2120597,64.17,71.82,14555,96.26,88.55,14555,64.17,75.52,14555
2120607,64.17,70.91,14535,80.21,88.51,14535,80.21,75.13,14535
2120617,80.21,71.07,14515,80.21,87.53,14515,64.17,74.78,14515
2120627,64.16,71.2,14495,96.25,87.61,14495,80.21,74.48,14495
2120637,64.18,70.37,14475,80.22,87.69,14475,80.22,75.15,14475
2120647,80.21,70.58,14455,96.26,87.75,14455,64.17,74.8,14455
2120657,64.17,70.77,14435,80.21,87.81,14435,80.21,74.5,14435
2120667,80.21,70.94,14415,80.21,86.91,14415,64.16,74.22,14415
2120677,64.18,71.09,14395,96.27,87.07,14395,80.22,73.98,14395
2120687,64.17,70.27,14375,80.21,87.21,14375,64.17,73.77,14375
2120697,80.21,70.5,14355,80.21,86.38,14355,80.21,73.58,14355
2120707,64.17,70.7,14335,96.26,86.6,14335,80.21,74.37,14335
2120717,64.17,69.93,14315,80.21,86.79,14315,64.17,74.11,14315
2120727,64.17,69.25,14295,80.21,86.01,14295,80.21,73.88,14295
2120737,80.21,69.59,14275,80.21,85.33,14275,64.17,73.68,14275
2120747,64.17,69.9,14255,96.26,85.67,14255,80.21,73.51,14255
2120757,64.17,69.22,14235,80.21,85.98,14235,64.17,73.35,14235
2120767,80.21,69.58,14215,80.21,85.29,14215,64.17,72.27,14215
2120777,64.17,69.88,14195,80.21,84.69,14195,80.21,72.26,14195
2120787,64.17,69.21,14175,96.26,85.11,14175,64.17,72.25,14175
2120797,64.17,68.61,14155,80.21,85.48,14155,80.21,72.24,14155
2120807,80.21,69.04,14135,80.21,84.86,14135,64.17,72.24,14135
2120817,64.17,69.41,14115,80.21,84.31,14115,80.21,72.23,14115
2120827,64.17,68.79,14095,96.26,84.77,14095,64.17,72.23,14095
2120837,64.16,68.24,14075,80.21,85.18,14075,64.16,71.27,14075
