millis,rpm,rpm2
29560,35.17,49.35
29570,52.76,50.13
29580,52.75,49.41
29590,52.76,49.44
29600,52.75,49.76
29610,52.75,50.40
29620,35.17,49.99
29630,52.75,49.99
29640,52.75,50.23
29650,52.76,50.96
29660,52.75,50.63
29670,52.76,50.58
29680,52.75,51.10
29690,52.75,51.25
29700,52.76,51.04
29710,35.17,51.22
29720,52.75,51.92
29730,52.76,51.87
29740,52.75,51.67
29750,52.76,52.01
29760,52.75,52.62
29770,52.75,51.97
29780,52.75,51.97
29790,52.75,52.37
29800,52.76,53.03
29810,52.75,52.65
29820,52.75,52.52
29830,52.75,53.21
29840,52.75,53.14
29850,52.74,52.84
29860,52.77,53.43
29870,52.75,54.34
29880,52.75,53.42
29890,52.75,53.26
29900,52.75,53.63
29910,70.35,54.07
29920,52.75,53.73
29930,52.75,54.19
29940,52.75,54.95
29950,52.75,54.11
29960,52.75,54.06
29970,52.76,54.44
29980,52.75,55.11
29990,52.75,54.65
30000,52.76,54.66
30010,52.75,55.02
30020,70.34,54.78
30030,52.75,54.73
30040,52.75,55.18
30050,52.74,55.86
30060,52.77,55.60
30070,52.75,55.56
30080,70.34,56.65
30090,52.75,55.86
30100,52.75,55.79
30110,52.75,56.24
30120,52.75,56.91
30130,70.35,56.29
30140,52.75,56.85
30150,52.75,57.62
30160,52.75,56.65
30170,70.35,56.85
30180,52.75,57.19
30190,52.75,57.28
30200,52.74,56.76
30210,52.77,57.22
30220,70.35,57.73
30230,52.75,57.41
30240,52.75,57.28
30250,70.35,58.34
30260,52.75,57.26
30270,52.75,57.13
30280,52.76,57.60
30290,70.33,58.06
30300,52.76,57.60
30310,52.75,58.04
30320,70.34,58.50
30330,52.75,58.15
30340,52.75,57.98
30350,70.35,59.27
30360,52.75,58.17
30370,52.75,58.07
30380,52.75,58.58
30390,70.34,58.73
30400,52.75,58.23
30410,52.76,58.93
30420,70.34,59.37
30430,52.75,58.95
30440,70.33,59.33
30450,52.76,60.10
30460,52.75,59.07
30470,70.33,59.15
30480,52.75,59.67
30490,52.75,59.83
30500,70.35,59.27
30510,52.75,59.57
30520,70.34,60.02
30530,52.75,59.49
30540,52.75,59.96
30550,70.33,60.41
30560,52.75,60.24
30570,70.35,60.33
30580,52.75,61.17
30590,70.34,60.31
30600,52.76,60.10
30610,70.17,94.49
30620,52.88,60.45
30630,52.75,60.33
30640,70.34,60.93
30650,52.75,61.08
30660,70.34,60.55
30670,52.75,60.97
30680,70.33,61.62
30690,52.75,60.95
30700,70.34,61.53
30710,52.75,61.94
30720,70.35,61.21
30730,52.75,61.62
30740,70.35,62.03
30750,52.75,61.55
30760,70.35,61.75
30770,52.75,62.49
30780,70.35,61.88
30790,52.75,61.72
30800,70.34,62.87
30810,52.75,61.88
30820,70.35,62.07
30830,52.62,62.62
30840,70.51,62.42
30850,70.35,62.56
30860,52.75,62.98
30870,70.34,62.80
30880,52.75,62.65
30890,70.34,63.19
30900,70.34,62.92
30910,52.75,62.67
30920,70.35,63.12
30930,52.75,63.37
30940,70.34,62.67
30950,70.35,63.23
30960,52.75,63.44
30970,70.35,62.76
30980,52.75,63.32
30990,70.35,63.76
31000,70.34,63.35
31010,52.75,63.74
31020,70.34,64.30
31030,52.75,63.64
31040,70.34,63.92
31050,70.35,64.20
31060,52.75,63.60
31070,70.35,64.23
31080,70.34,64.65
31090,52.75,64.02
31100,70.33,64.30
31110,70.34,64.67
31120,52.75,64.04
31130,70.35,64.63
31140,70.34,65.06
31150,52.75,64.39
31160,70.35,64.72
31170,70.34,65.01
31180,52.75,64.37
31190,70.33,64.89
31200,70.35,65.42
31210,70.34,64.67
31220,52.75,65.25
31230,70.35,65.79
31240,70.34,64.96
31250,52.75,65.32
31260,70.35,65.71
31270,70.33,65.18
31280,70.35,65.66
31290,52.75,65.89
31300,70.34,65.32
31310,70.33,66.01
31320,70.35,65.74
31330,52.75,65.64
31340,70.34,66.38
31350,70.34,65.98
31360,70.33,65.98
31370,52.75,66.56
31380,70.35,66.26
31390,70.33,66.28
31400,70.34,67.63
31410,70.35,66.74
31420,52.75,66.48
31430,70.35,67.82
31440,70.33,67.02
31450,70.35,67.22
31460,70.33,67.25
31470,52.76,67.07
31480,70.33,67.12
31490,70.34,67.40
31500,70.34,66.71
31510,70.35,67.04
31520,70.33,67.53
31530,52.76,66.86
31540,70.33,67.30
31550,70.35,67.74
31560,70.34,66.94
31570,70.34,67.74
31580,70.33,67.45
31590,52.76,67.48
31600,70.33,67.87
31610,70.34,67.56
31620,70.35,67.58
31630,70.34,68.75
31640,70.33,67.90
31650,70.35,68.13
31660,52.75,69.04
31670,70.33,68.24
31680,70.35,68.32
31690,70.33,68.69
31700,70.35,67.97
31710,70.33,68.48
31720,70.35,68.99
31730,70.34,68.34
31740,70.34,68.77
31750,70.33,68.61
31760,52.75,68.42
31770,70.34,69.10
31780,70.35,68.61
31790,70.33,68.91
31800,70.35,70.03
31810,70.34,69.18
31820,70.33,69.31
31830,70.35,69.51
31840,70.34,68.80
31850,70.34,69.26
31860,70.34,69.81
31870,70.34,69.10
31880,70.33,69.42
31890,70.35,69.26
31900,70.33,69.37
31910,70.34,70.68
31920,70.35,69.81
31930,52.75,69.42
31940,70.34,70.85
31950,70.35,69.75
31960,70.34,69.95
31970,70.33,70.42
31980,70.34,69.70
31990,70.34,70.14
32000,70.34,70.68
32010,70.35,69.98
32020,70.33,70.45
32030,70.35,70.17
32040,70.33,70.37
32050,70.34,71.57
32060,70.35,70.85
32070,70.34,70.88
32080,87.92,71.31
32090,70.33,70.59
32100,70.35,71.02
32110,70.33,70.79
32120,70.35,71.05
32130,70.34,72.04
32140,70.33,71.43
32150,70.35,71.34
32160,70.33,71.80
32170,70.35,71.08
32180,70.33,71.45
32190,70.35,71.89
32200,70.32,70.91
32210,70.35,71.66
32220,70.35,71.22
32230,70.33,71.19
